dataset,corruption,mIoU_mean,mIoU_std,mDice_mean,mDice_std,mAcc_mean,mAcc_std
COCOObjectDataset,original,29.13,0.02,42.42,0.03,70.55,0.06
COCOObjectDataset,gaussian_noise,23.58,0.05,35.76,0.07,55.23,0.09
COCOObjectDataset,shot_noise,24.78,0.04,37.16,0.04,57.91,0.08
COCOObjectDataset,impulse_noise,23.86,0.02,36.18,0.03,56.54,0.08
COCOObjectDataset,defocus_blur,26.16,0.03,39.1,0.03,64.21,0.05
COCOObjectDataset,glass_blur,26.15,0.03,39.08,0.04,63.34,0.1
COCOObjectDataset,motion_blur,27.15,0.04,40.2,0.04,65.98,0.02
COCOObjectDataset,zoom_blur,19.59,0.01,30.89,0.01,49.14,0.0
COCOObjectDataset,snow,25.5,0.06,38.34,0.07,62.68,0.06
COCOObjectDataset,frost,25.14,0.05,37.89,0.07,56.62,0.05
COCOObjectDataset,fog,27.53,0.02,40.74,0.03,65.88,0.03
COCOObjectDataset,brightness,28.07,0.02,41.23,0.03,68.44,0.05
COCOObjectDataset,contrast,26.44,0.04,39.33,0.06,64.14,0.06
COCOObjectDataset,elastic_transform,26.23,0.03,38.96,0.05,59.94,0.04
COCOObjectDataset,pixelate,28.48,0.02,41.8,0.03,69.89,0.05
COCOObjectDataset,jpeg_compression,28.11,0.01,41.36,0.0,66.98,0.04
COCOStuffDataset,original,21.24,0.0,31.96,0.0,43.56,0.01
COCOStuffDataset,gaussian_noise,15.62,0.01,24.45,0.01,31.84,0.02
COCOStuffDataset,shot_noise,16.21,0.01,25.21,0.02,32.97,0.02
COCOStuffDataset,impulse_noise,15.92,0.02,24.93,0.02,32.49,0.0
COCOStuffDataset,defocus_blur,18.59,0.01,28.58,0.02,38.59,0.03
COCOStuffDataset,glass_blur,18.51,0.01,28.43,0.03,38.15,0.03
COCOStuffDataset,motion_blur,19.43,0.01,29.62,0.01,39.98,0.02
COCOStuffDataset,zoom_blur,13.18,0.05,21.35,0.07,28.75,0.07
COCOStuffDataset,snow,16.89,0.01,26.24,0.02,35.1,0.07
COCOStuffDataset,frost,15.88,0.01,24.89,0.01,32.27,0.03
COCOStuffDataset,fog,19.04,0.01,29.18,0.01,37.85,0.01
COCOStuffDataset,brightness,20.3,0.01,30.77,0.01,41.52,0.0
COCOStuffDataset,contrast,17.73,0.03,27.32,0.04,35.75,0.02
COCOStuffDataset,elastic_transform,18.11,0.01,27.95,0.02,35.97,0.02
COCOStuffDataset,pixelate,20.51,0.02,31.04,0.02,42.36,0.03
COCOStuffDataset,jpeg_compression,19.46,0.0,29.65,0.0,39.66,0.01
